PostalCode,Borough,Neighborhood
M3A,North York,Parkwoods
M4A,North York,Victoria Village
M5A,Downtown Toronto,"Regent Park, Harbourfront"
M6A,North York,"Lawrence Manor, Lawrence Heights"
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
M9A,Etobicoke,"Islington Avenue, Humber Valley Village"
M1B,Scarborough,"Malvern, Rouge"
M3B,North York,Don Mills
M4B,East York,"Parkview Hill, Woodbine Gardens"
M5B,Downtown Toronto,"Garden District, Ryerson"
M6B,North York,Glencairn
M9B,Etobicoke,"West Deane Park, Princess Gardens"
M1C,Scarborough,"Rouge Hill, Port Union"
M3C,North York,Don Mills
M4C,East York,Woodbine Heights
M5C,Downtown Toronto,St. James Town
M6C,York,Humewood-Cedarvale
M9C,Etobicoke,"Eringate, Bloordale Gardens"
M1E,Scarborough,"Guildwood, Morningside"
M4E,East Toronto,The Beaches
M5E,Downtown Toronto,Berczy Park
M6E,York,Caledonia-Fairbanks
M1G,Scarborough,Woburn
M4G,East York,Leaside
M5G,Downtown Toronto,Central Bay Street
M6G,Downtown Toronto,Christie
M1H,Scarborough,Cedarbrae
M2H,North York,Hillcrest Village
M3H,North York,"Bathurst Manor, Wilson Heights"
M4H,East York,Thorncliffe Park
M5H,Downtown Toronto,"Richmond, Adelaide"
M6H,West Toronto,"Dufferin, Dovercourt Village"
M1J,Scarborough,Scarborough Village
M2J,North York,"Fairview, Henry Farm"
M3J,North York,"Northwood Park, York University"
M4J,East York,"East Toronto, Broadview North (Old East York)"
M5J,Downtown Toronto,"Harbourfront East, Union Station"
M6J,West Toronto,"Little Portugal, Trinity"
M1K,Scarborough,"Kennedy Park, Ionview"
M2K,North York,Bayview Village
M3K,North York,Downsview
M4K,East Toronto,"The Danforth West, Riverdale"
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
M6K,West Toronto,"Brockton, Parkdale Village"
M1L,Scarborough,"Golden Mile, Clairlea"
M2L,North York,"York Mills, Silver Hills"
M3L,North York,Downsview
M4L,East Toronto,"India Bazaar, The Beaches West"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
M6L,North York,"North Park, Maple Leaf Park"
M9L,North York,Humber Summit
M1M,Scarborough,"Cliffside, Cliffcrest"
M2M,North York,"Willowdale, Newtonbrook"
M3M,North York,Downsview
M4M,East Toronto,Studio District
M5M,North York,"Bedford Park, Lawrence Manor East"
M6M,York,"Del Ray, Mount Dennis"
M9M,North York,"Humberlea, Emery"
M1N,Scarborough,"Birch Cliff, Cliffside West"
M2N,North York,"Willowdale, Willowdale East"
M3N,North York,Downsview
M4N,Central Toronto,Lawrence Park
M5N,Central Toronto,Roselawn
M6N,York,"Runnymede, The Junction North"
M9N,York,Weston
M1P,Scarborough,"Dorset Park, Wexford Heights"
M2P,North York,York Mills West
M4P,Central Toronto,Davisville North
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
M6P,West Toronto,"High Park, The Junction South"
M9P,Etobicoke,Westmount
M1R,Scarborough,"Wexford, Maryvale"
M2R,North York,"Willowdale, Willowdale West"
M4R,Central Toronto,"North Toronto West,  Lawrence Park"
M5R,Central Toronto,"The Annex, North Midtown"
M6R,West Toronto,"Parkdale, Roncesvalles"
M7R,Mississauga,Canada Post Gateway Processing Centre
M9R,Etobicoke,"Kingsview Village, St. Phillips"
M1S,Scarborough,Agincourt
M4S,Central Toronto,Davisville
M5S,Downtown Toronto,"University of Toronto, Harbord"
M6S,West Toronto,"Runnymede, Swansea"
M1T,Scarborough,"Clarks Corners, Tam O'Shanter"
M4T,Central Toronto,"Moore Park, Summerhill East"
M5T,Downtown Toronto,"Kensington Market, Chinatown"
M1V,Scarborough,"Milliken, Agincourt North"
M4V,Central Toronto,"Summerhill West, Rathnelly"
M5V,Downtown Toronto,"CN Tower, King and Spadina"
M8V,Etobicoke,"New Toronto, Mimico South"
M9V,Etobicoke,"South Steeles, Silverstone"
M1W,Scarborough,"Steeles West, L'Amoreaux West"
M4W,Downtown Toronto,Rosedale
M5W,Downtown Toronto,Stn A PO Boxes
M8W,Etobicoke,"Alderwood, Long Branch"
M9W,Etobicoke,"Northwest, West Humber - Clairville"
M1X,Scarborough,Upper Rouge
M4X,Downtown Toronto,"St. James Town, Cabbagetown"
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M8X,Etobicoke,"The Kingsway, Montgomery Road"
M4Y,Downtown Toronto,Church and Wellesley
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
M8Y,Etobicoke,"Old Mill South, King's Mill Park"
M8Z,Etobicoke,"Mimico NW, The Queensway West"
